date,body,sign,from_sign,ruler,element
2018-05-12,Moon,Aries,Pisces,Mars,fire
2018-05-14,Moon,Taurus,Aries,Venus,earth
2018-05-14,Mercury,Taurus,Aries,Venus,earth
2018-05-16,Moon,Gemini,Taurus,Mercury,air
2018-05-16,Mars,Aquarius,Capricorn,Saturn,air
2018-05-18,Moon,Cancer,Gemini,Moon,water
2018-05-20,Moon,Leo,Cancer,Sun,fire
2018-05-20,Venus,Cancer,Gemini,Moon,water
2018-05-21,Sun,Gemini,Taurus,Mercury,air
2018-05-22,Moon,Virgo,Leo,Mercury,earth
2018-05-24,Moon,Libra,Virgo,Venus,air
2018-05-27,Moon,Scorpio,Libra,Mars,water
2018-05-29,Moon,Sagittarius,Scorpio,Jupiter,fire
2018-05-30,Mercury,Gemini,Taurus,Mercury,air
2018-05-31,Moon,Capricorn,Sagittarius,Saturn,earth
2018-06-03,Moon,Aquarius,Capricorn,Saturn,air
2018-06-05,Moon,Pisces,Aquarius,Jupiter,water
2018-06-08,Moon,Aries,Pisces,Mars,fire
2018-06-10,Moon,Taurus,Aries,Venus,earth
2018-06-12,Moon,Gemini,Taurus,Mercury,air
2018-06-13,Mercury,Cancer,Gemini,Moon,water
2018-06-14,Moon,Cancer,Gemini,Moon,water
2018-06-14,Venus,Leo,Cancer,Sun,fire
2018-06-16,Moon,Leo,Cancer,Sun,fire
